iter	Logloss
217	0.1294497304
218	0.1293588448
219	0.1292683154
220	0.1291781572
221	0.1290883609
222	0.1289987242
223	0.1289094543
224	0.1287855898
225	0.128696607
226	0.1286079279
227	0.1285194403
228	0.1284312925
229	0.1283433908
230	0.1282559031
231	0.1281686505
232	0.1280817477
233	0.1279953116
234	0.1279092904
235	0.1277904544
236	0.1277046874
237	0.1276192905
238	0.1275341528
239	0.1274490033
240	0.1273642844
241	0.1272798339
242	0.1271955652
243	0.1260536578
244	0.1259674599
245	0.1258828937
246	0.1257989933
247	0.1257156152
248	0.1255994458
249	0.1255164409
250	0.1254337315
251	0.1253512559
252	0.1252692409
253	0.1251874448
254	0.1251058691
255	0.1250245203
256	0.1249434321
257	0.1241213517
258	0.1240383744
259	0.1239564007
260	0.1238750495
261	0.1237942412
262	0.1237136403
263	0.1236333735
264	0.1235233682
265	0.1234431972
266	0.1233632605
267	0.1232834957
268	0.123203968
269	0.1231248753
270	0.1230459822
271	0.1229674202
272	0.1228890558
273	0.12281081
274	0.1227327237
275	0.1219531933
276	0.1218731817
277	0.1217940848
278	0.1217156741
279	0.1216375461
280	0.1215598592
281	0.121482438
282	0.1214053385
283	0.1212980003
284	0.1212211823
285	0.1211444788
286	0.1210682694
287	0.1209923269
288	0.1209166266
289	0.1208411344
290	0.1207659318
291	0.1200714924
292	0.1199943581
293	0.1199184386
294	0.119843325
295	0.1197687761
296	0.1196944177
297	0.11962021
298	0.1195462609
299	0.1194418887
300	0.1193681318
301	0.1192945134
302	0.1192211744
303	0.1186028828
304	0.1185279818
305	0.1184539896
306	0.1183804753
307	0.1183072517
308	0.118234239
309	0.1181614097
310	0.1180888222
311	0.1180163841
312	0.1179442091
313	0.1178421211
314	0.1177702204
315	0.1176984567
316	0.1176268797
317	0.1175556403
318	0.1174845561
319	0.1174136616
320	0.1173430595
321	0.1172726437
322	0.117202254
323	0.1171319981
324	0.1170620255
325	0.1169921057
326	0.116356907
327	0.1162853834
328	0.1162145991
329	0.1161441868
330	0.1160741598
331	0.1159895722
332	0.1159198729
333	0.1158505511
334	0.1157814515
335	0.1157124956
336	0.1156435673
337	0.1155747411
338	0.1155061697
339	0.1154376036
340	0.1153693675
341	0.1153014002
342	0.1144651417
343	0.114394672
344	0.1143256879
345	0.1142572668
346	0.1141891808
347	0.1141214992
348	0.1140540338
349	0.1139867492
350	0.1134633013
351	0.1133946744
352	0.1133270092
353	0.1132599139
354	0.1131931686
355	0.1131265217
356	0.1130601188
357	0.1129939138
358	0.1129277662
359	0.1128618622
360	0.112765869
361	0.1127002492
362	0.1126347516
363	0.1125693998
364	0.1125042615
365	0.1124393059
366	0.112374503
367	0.1123097694
368	0.1122452931
369	0.1121525994
370	0.1120882776
371	0.1120241204
372	0.1112116925
373	0.1111452522
374	0.1110803881
375	0.1110158679
376	0.1109516254
377	0.1108876907
378	0.1108238186
379	0.1107602368
380	0.110696687
381	0.1106335037
382	0.1105706085
383	0.1105077395
384	0.1104450855
385	0.1103826032
386	0.1103203591
387	0.1102582604
388	0.110196279
389	0.1094413473
390	0.1087674274
391	0.1087021742
392	0.1086101769
393	0.1085463731
394	0.1084830624
395	0.1084202711
396	0.1083576627
397	0.1082953269
398	0.1082332083
